"AverageShortestPathLength","Betweenness","Closeness","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","Interactor Type","IsSingleNode","name","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Short Label","Species (NCBI TAX ID)","Species Full Name","Species Short Label","Stress","Subgragh","synonym","systematic name"
,,,,,,,,"ribonucleic acid",,"SETD1A",,"false",,"SETD1A","SETD1A","9606","Homo sapiens","Human",,,"Set1A",""
,,,,,,,,"ribonucleic acid",,"KIF20A",,"false",,"KIF20A","KIF20A","9606","Homo sapiens","Human",,,"RAB6KIFL",""
,,,,,,,,"gene",,"ARHGEF12",,"false",,"ARHGEF12","ARHGEF12","9606","Homo sapiens","Human",,,"PRO2792",""
,,,,,,,,"gene",,"IL12RB2",,"false",,"IL12RB2","IL12RB2","9606","Homo sapiens","Human",,,"","RP11-102M16.1"
,,,,,,,,"ribonucleic acid",,"NEFL",,"false",,"NEFL","NEFL","9606","Homo sapiens","Human",,,"PPP1R110",""
,,,,,,,,"gene",,"IL12RB1",,"false",,"IL12RB1","IL12RB1","9606","Homo sapiens","Human",,,"IMD30",""
,,,,,,,,"ribonucleic acid",,"RPL23",,"false",,"RPL23","RPL23","9606","Homo sapiens","Human",,,"rpL17",""
,,,,,,,,"protein",,"DLD",,"false",,"DLD","DLD","9606","Homo sapiens","Human",,,"PHE3","tcag7.39"
,,,,,,,,"ribonucleic acid",,"B3GNT2",,"false",,"B3GNT2","B3GNT2","9606","Homo sapiens","Human",,,"BGnT-2",""
,,,,,,,,"protein",,"FKBP8",,"false",,"FKBP8","FKBP8","9606","Homo sapiens","Human",,,"FKBPr38",""
,,,,,,,,"ribonucleic acid",,"CASP8AP2",,"false",,"CASP8AP2","CASP8AP2","9606","Homo sapiens","Human",,,"RIP25","RP11-63K6.3"
,,,,,,,,"protein",,"RCAN2",,"false",,"RCAN2","RCAN2","9606","Homo sapiens","Human",,,"ZAKI4","RP11-38F19.1"
,,,,,,,,"ribonucleic acid",,"NDUFC1",,"false",,"NDUFC1","NDUFC1","9606","Homo sapiens","Human",,,"KFYI",""
,,,,,,,,"protein",,"KRT14",,"false",,"KRT14","KRT14","9606","Homo sapiens","Human",,,"NFJ",""
,,,,,,,,"ribonucleic acid",,"SNORA4",,"false",,"SNORA4","SNORA4","9606","Homo sapiens","Human",,,"ACA4",""
,,,,,,,,"protein",,"PKP1",,"false",,"PKP1","PKP1","9606","Homo sapiens","Human",,,"B6P",""
,,,,,,,,"ribonucleic acid",,"PAK1IP1",,"false",,"PAK1IP1","PAK1IP1","9606","Homo sapiens","Human",,,"hPIP1","RP11-421M1.5"
,,,,,,,,"ribonucleic acid",,"GOLGA7",,"false",,"GOLGA7","GOLGA7","9606","Homo sapiens","Human",,,"HSPC041","HDCKB03P"
,,,,,,,,"protein",,"DDO",,"false",,"DDO","DDO","9606","Homo sapiens","Human",,,"DDO-2","RP1-261K5.2"
,,,,,,,,"protein",,"SDC3",,"false",,"SDC3","SDC3","9606","Homo sapiens","Human",,,"SYND3",""
,,,,,,,,"ribonucleic acid",,"HS3ST3A1",,"false",,"HS3ST3A1","HS3ST3A1","9606","Homo sapiens","Human",,,"3OST3A1","UNQ2551/PRO6180"
,,,,,,,,"ribonucleic acid",,"ARHGAP21",,"false",,"ARHGAP21","ARHGAP21","9606","Homo sapiens","Human",,,"ARHGAP10","RP11-324E23.2"
,,,,,,,,"protein",,"CDH7",,"false",,"CDH7","CDH7","9606","Homo sapiens","Human",,,"CDH7L1",""
,,,,,,,,"protein",,"CDH9",,"false",,"CDH9","CDH9","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"LINC00493",,"false",,"LINC00493","LINC00493","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"SNORD31",,"false",,"SNORD31","SNORD31","9606","Homo sapiens","Human",,,"U31",""
,,,,,,,,"protein",,"CYP1A2",,"false",,"CYP1A2","CYP1A2","9606","Homo sapiens","Human",,,"P450(PA)",""
,,,,,,,,"protein",,"CYP2C9",,"false",,"CYP2C9","CYP2C9","9606","Homo sapiens","Human",,,"P450IIC9","RP11-208C17.6"
,,,,,,,,"ribonucleic acid",,"SNORD2",,"false",,"SNORD2","SNORD2","9606","Homo sapiens","Human",,,"SNR39B",""
,,,,,,,,"protein",,"CYP2C19",,"false",,"CYP2C19","CYP2C19","9606","Homo sapiens","Human",,,"P450IIC19","RP11-400G3.4"
,,,,,,,,"ribonucleic acid",,"GNA12",,"false",,"GNA12","GNA12","9606","Homo sapiens","Human",,,"gep",""
,,,,,,,,"protein",,"POR",,"false",,"POR","POR","9606","Homo sapiens","Human",,,"P450R",""
,,,,,,,,"ribonucleic acid",,"ENY2",,"false",,"ENY2","ENY2","9606","Homo sapiens","Human",,,"e(y)2","DC6"
,,,,,,,,"ribonucleic acid",,"FOXG1",,"false",,"FOXG1","FOXG1","9606","Homo sapiens","Human",,,"QIN",""
,,,,,,,,"protein",,"NDOR1",,"false",,"NDOR1","NDOR1","9606","Homo sapiens","Human",,,"bA350O14.9","RP11-350O14.11-001"
,,,,,,,,"protein",,"CYB5A",,"false",,"CYB5A","CYB5A","9606","Homo sapiens","Human",,,"MCB5",""
,,,,,,,,"ribonucleic acid",,"RCHY1",,"false",,"RCHY1","RCHY1","9606","Homo sapiens","Human",,,"ZNF363",""
,,,,,,,,"ribonucleic acid",,"RPL19",,"false",,"RPL19","RPL19","9606","Homo sapiens","Human",,,"L19",""
,,,,,,,,"protein",,"COX4I2",,"false",,"COX4I2","COX4I2","9606","Homo sapiens","Human",,,"dJ857M17.2",""
,,,,,,,,"protein",,"SECTM1",,"false",,"SECTM1","SECTM1","9606","Homo sapiens","Human",,,"K12",""
,,,,,,,,"ribonucleic acid",,"PCNA",,"false",,"PCNA","PCNA","9606","Homo sapiens","Human",,,"ATLD2",""
,,,,,,,,"protein",,"CD3G",,"false",,"CD3G","CD3G","9606","Homo sapiens","Human",,,"T3G",""
,,,,,,,,"ribonucleic acid",,"TPD52L1",,"false",,"TPD52L1","TPD52L1","9606","Homo sapiens","Human",,,"hD53",""
,,,,,,,,"protein",,"DUSP14",,"false",,"DUSP14","DUSP14","9606","Homo sapiens","Human",,,"MKP6",""
,,,,,,,,"ribonucleic acid",,"CPNE2",,"false",,"CPNE2","CPNE2","9606","Homo sapiens","Human",,,"CPN2",""
,,,,,,,,"ribonucleic acid",,"TADA2B",,"false",,"TADA2B","TADA2B","9606","Homo sapiens","Human",,,"ADA2B",""
,,,,,,,,"protein",,"SLC6A5",,"false",,"SLC6A5","SLC6A5","9606","Homo sapiens","Human",,,"NET1",""
,,,,,,,,"ribonucleic acid",,"SNORD87",,"false",,"SNORD87","SNORD87","9606","Homo sapiens","Human",,,"U87",""
,,,,,,,,"protein",,"SLC6A9",,"false",,"SLC6A9","SLC6A9","9606","Homo sapiens","Human",,,"GLYT1",""
,,,,,,,,"ribonucleic acid",,"SNORD27",,"false",,"SNORD27","SNORD27","9606","Homo sapiens","Human",,,"U27",""
,,,,,,,,"protein",,"EPCAM",,"false",,"EPCAM","EPCAM","9606","Homo sapiens","Human",,,"TROP1",""
,,,,,,,,"ribonucleic acid",,"QTRTD1",,"false",,"QTRTD1","QTRTD1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"HTN1",,"false",,"HTN1","HTN1","9606","Homo sapiens","Human",,,"HIS1",""
,,,,,,,,"ribonucleic acid",,"MIR17HG",,"false",,"MIR17HG","MIR17HG","9606","Homo sapiens","Human",,,"miR-17-92","RP11-121J7.2"
,,,,,,,,"protein",,"STATH",,"false",,"STATH","STATH","9606","Homo sapiens","Human",,,"STR",""
,,,,,,,,"ribonucleic acid",,"TBC1D9",,"false",,"TBC1D9","TBC1D9","9606","Homo sapiens","Human",,,"MDR1",""
,,,,,,,,"ribonucleic acid",,"CCNB1",,"false",,"CCNB1","CCNB1","9606","Homo sapiens","Human",,,"CCNB",""
,,,,,,,,"protein",,"MUC5B",,"false",,"MUC5B","MUC5B","9606","Homo sapiens","Human",,,"MUC9",""
,,,,,,,,"ribonucleic acid",,"FAM200B",,"false",,"FAM200B","FAM200B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"gene",,"SRF",,"false",,"SRF","SRF","9606","Homo sapiens","Human",,,"MCM1",""
,,,,,,,,"ribonucleic acid",,"MED11",,"false",,"MED11","MED11","9606","Homo sapiens","Human",,,"","HSPC296"
,,,,,,,,"ribonucleic acid",,"C1orf52",,"false",,"C1orf52","C1orf52","9606","Homo sapiens","Human",,,"","GM117"
,,,,,,,,"ribonucleic acid",,"IRX3",,"false",,"IRX3","IRX3","9606","Homo sapiens","Human",,,"IRXB1",""
,,,,,,,,"gene",,"HRAS",,"false",,"HRAS","HRAS","9606","Homo sapiens","Human",,,"p21ras",""
,,,,,,,,"gene",,"MAP2K1",,"false",,"MAP2K1","MAP2K1","9606","Homo sapiens","Human",,,"PRKMK1",""
,,,,,,,,"ribonucleic acid",,"BCL2L12",,"false",,"BCL2L12","BCL2L12","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"gene",,"PLAU",,"false",,"PLAU","PLAU","9606","Homo sapiens","Human",,,"u-PA","RP11-417O11.1"
,,,,,,,,"ribonucleic acid",,"SAP30",,"false",,"SAP30","SAP30","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"HCST",,"false",,"HCST","HCST","9606","Homo sapiens","Human",,,"PIK3AP","UNQ587/PRO1157"
,,,,,,,,"ribonucleic acid",,"NGDN",,"false",,"NGDN","NGDN","9606","Homo sapiens","Human",,,"lpd-2",""
,,,,,,,,"ribonucleic acid",,"CWC15",,"false",,"CWC15","CWC15","9606","Homo sapiens","Human",,,"ORF5","AD-002"
,,,,,,,,"ribonucleic acid",,"NINL",,"false",,"NINL","NINL","9606","Homo sapiens","Human",,,"dJ691N24.1","RP4-691N24.1"
,,,,,,,,"ribonucleic acid",,"JUN",,"false",,"JUN","JUN","9606","Homo sapiens","Human",,,"c-Jun",""
,,,,,,,,"protein",,"KIF13B",,"false",,"KIF13B","KIF13B","9606","Homo sapiens","Human",,,"GAKIN",""
,,,,,,,,"protein",,"SOX13",,"false",,"SOX13","SOX13","9606","Homo sapiens","Human",,,"Sox-13","RP11-74C13.1"
,,,,,,,,"ribonucleic acid",,"UMAD1",,"false",,"UMAD1","UMAD1","9606","Homo sapiens","Human",,,"RPA3OS","tcag7.903"
,,,,,,,,"ribonucleic acid",,"DAXX",,"false",,"DAXX","DAXX","9606","Homo sapiens","Human",,,"EAP1","DADB-159G18.9"
,,,,,,,,"ribonucleic acid",,"EIF1",,"false",,"EIF1","EIF1","9606","Homo sapiens","Human",,,"SUI1",""
,,,,,,,,"ribonucleic acid",,"TADA3",,"false",,"TADA3","TADA3","9606","Homo sapiens","Human",,,"hADA3",""
,,,,,,,,"protein",,"NMUR1",,"false",,"NMUR1","NMUR1","9606","Homo sapiens","Human",,,"NMU1R",""
,,,,,,,,"ribonucleic acid",,"SNORD5",,"false",,"SNORD5","SNORD5","9606","Homo sapiens","Human",,,"mgh28S-2410",""
,,,,,,,,"ribonucleic acid",,"C5orf24",,"false",,"C5orf24","C5orf24","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"REV3L",,"false",,"REV3L","REV3L","9606","Homo sapiens","Human",,,"REV3","RP5-1112D6.1"
,,,,,,,,"protein",,"SST",,"false",,"SST","SST","9606","Homo sapiens","Human",,,"SMST",""
,,,,,,,,"ribonucleic acid",,"PARP2",,"false",,"PARP2","PARP2","9606","Homo sapiens","Human",,,"pADPRT-2",""
,,,,,,,,"ribonucleic acid",,"C9orf78",,"false",,"C9orf78","C9orf78","9606","Homo sapiens","Human",,,"bA409K20.3",""
,,,,,,,,"protein",,"IL25",,"false",,"IL25","IL25","9606","Homo sapiens","Human",,,"IL17E","UNQ3120/PRO10272"
,,,,,,,,"ribonucleic acid",,"NFKBIA",,"false",,"NFKBIA","NFKBIA","9606","Homo sapiens","Human",,,"NFKBI",""
,,,,,,,,"gene",,"VDR",,"false",,"VDR","VDR","9606","Homo sapiens","Human",,,"PPP1R163",""
,,,,,,,,"ribonucleic acid",,"ENOX1",,"false",,"ENOX1","ENOX1","9606","Homo sapiens","Human",,,"cCNOX","RP11-301I17.1"
,,,,,,,,"ribonucleic acid",,"BEND7",,"false",,"BEND7","BEND7","9606","Homo sapiens","Human",,,"C10orf30",""
,,,,,,,,"protein",,"GZMB",,"false",,"GZMB","GZMB","9606","Homo sapiens","Human",,,"SECT",""
,,,,,,,,"protein",,"IL37",,"false",,"IL37","IL37","9606","Homo sapiens","Human",,,"IL1RP1",""
,,,,,,,,"ribonucleic acid",,"SNORD29",,"false",,"SNORD29","SNORD29","9606","Homo sapiens","Human",,,"U29",""
,,,,,,,,"gene",,"TRAF3",,"false",,"TRAF3","TRAF3","9606","Homo sapiens","Human",,,"LAP1",""
,,,,,,,,"ribonucleic acid",,"ATP5I",,"false",,"ATP5I","ATP5I","9606","Homo sapiens","Human",,,"ATP5K",""
,,,,,,,,"gene",,"LTBR",,"false",,"LTBR","LTBR","9606","Homo sapiens","Human",,,"TNFRSF3",""
,,,,,,,,"ribonucleic acid",,"PSMA7",,"false",,"PSMA7","PSMA7","9606","Homo sapiens","Human",,,"XAPC7","RP5-1005F21.4"
,,,,,,,,"protein",,"SPN",,"false",,"SPN","SPN","9606","Homo sapiens","Human",,,"LSN",""
,,,,,,,,"ribonucleic acid",,"TMA7",,"false",,"TMA7","TMA7","9606","Homo sapiens","Human",,,"CCDC72","HSPC016"
,,,,,,,,"protein",,"DYSF",,"false",,"DYSF","DYSF","9606","Homo sapiens","Human",,,"MMD1",""
,,,,,,,,"ribonucleic acid",,"GNGT1",,"false",,"GNGT1","GNGT1","9606","Homo sapiens","Human",,,"GNG1",""
,,,,,,,,"protein",,"IL22RA1",,"false",,"IL22RA1","IL22RA1","9606","Homo sapiens","Human",,,"IL22R1",""
,,,,,,,,"ribonucleic acid",,"SNORD30",,"false",,"SNORD30","SNORD30","9606","Homo sapiens","Human",,,"U30",""
,,,,,,,,"protein",,"IL10RB",,"false",,"IL10RB","IL10RB","9606","Homo sapiens","Human",,,"IL-10R2",""
,,,,,,,,"ribonucleic acid",,"MRPS28",,"false",,"MRPS28","MRPS28","9606","Homo sapiens","Human",,,"MRPS35","HSPC007"
,,,,,,,,"protein",,"CARS",,"false",,"CARS","CARS","9606","Homo sapiens","Human",,,"MGC:11246",""
,,,,,,,,"ribonucleic acid",,"KIAA1804",,"false",,"KIAA1804","KIAA1804","9606","Homo sapiens","Human",,,"dJ862P8.3","RP5-862P8.2"
,,,,,,,,"protein",,"PRL",,"false",,"PRL","PRL","9606","Homo sapiens","Human",,,"","RP3-404K8.1"
,,,,,,,,"ribonucleic acid",,"HOXC6",,"false",,"HOXC6","HOXC6","9606","Homo sapiens","Human",,,"HOX3C",""
,,,,,,,,"protein",,"BRAP",,"false",,"BRAP","BRAP","9606","Homo sapiens","Human",,,"RNF52",""
,,,,,,,,"ribonucleic acid",,"SF3B6",,"false",,"SF3B6","SF3B6","9606","Homo sapiens","Human",,,"SF3B14a","CGI-110"
,,,,,,,,"protein",,"SSTR5",,"false",,"SSTR5","SSTR5","9606","Homo sapiens","Human",,,"SS-5-R",""
,,,,,,,,"ribonucleic acid",,"DLL1",,"false",,"DLL1","DLL1","9606","Homo sapiens","Human",,,"Delta","UNQ146/PRO172"
,,,,,,,,"ribonucleic acid",,"TBCA",,"false",,"TBCA","TBCA","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"SSTR4",,"false",,"SSTR4","SSTR4","9606","Homo sapiens","Human",,,"SS4R",""
,,,,,,,,"protein",,"SSTR3",,"false",,"SSTR3","SSTR3","9606","Homo sapiens","Human",,,"SSR-28",""
,,,,,,,,"ribonucleic acid",,"DNMT1",,"false",,"DNMT1","DNMT1","9606","Homo sapiens","Human",,,"MCMT",""
,,,,,,,,"protein",,"SSTR1",,"false",,"SSTR1","SSTR1","9606","Homo sapiens","Human",,,"SS1R",""
,,,,,,,,"ribonucleic acid",,"URB1-AS1",,"false",,"URB1-AS1","URB1-AS1","9606","Homo sapiens","Human",,,"C21orf119","PRED84"
,,,,,,,,"protein",,"CORT",,"false",,"CORT","CORT","9606","Homo sapiens","Human",,,"CST-29","UNQ307/PRO350"
,,,,,,,,"ribonucleic acid",,"ZNF706",,"false",,"ZNF706","ZNF706","9606","Homo sapiens","Human",,,"PNAS-113","HSPC038"
,,,,,,,,"ribonucleic acid",,"TSHZ1",,"false",,"TSHZ1","TSHZ1","9606","Homo sapiens","Human",,,"TSH1",""
,,,,,,,,"protein",,"SRPR",,"false",,"SRPR","SRPR","9606","Homo sapiens","Human",,,"Sralpha",""
,,,,,,,,"protein",,"SSR2",,"false",,"SSR2","SSR2","9606","Homo sapiens","Human",,,"TRAPB","HSD25"
,,,,,,,,"ribonucleic acid",,"FAM150A",,"false",,"FAM150A","FAM150A","9606","Homo sapiens","Human",,,"UNQ9433","UNQ9433/PRO34745"
,,,,,,,,"ribonucleic acid",,"SMAD7",,"false",,"SMAD7","SMAD7","9606","Homo sapiens","Human",,,"MADH8",""
,,,,,,,,"protein",,"CYR61",,"false",,"CYR61","CYR61","9606","Homo sapiens","Human",,,"IGFBP10",""
,,,,,,,,"ribonucleic acid",,"RPS24",,"false",,"RPS24","RPS24","9606","Homo sapiens","Human",,,"S24","RP11-6P10.1"
,,,,,,,,"protein",,"AGFG2",,"false",,"AGFG2","AGFG2","9606","Homo sapiens","Human",,,"RABR","tcag7.884"
,,,,,,,,"ribonucleic acid",,"SERTAD4-AS1",,"false",,"SERTAD4-AS1","SERTAD4-AS1","9606","Homo sapiens","Human",,,"C1orf133","RP4-667H12.2"
,,,,,,,,"protein",,"EPN2",,"false",,"EPN2","EPN2","9606","Homo sapiens","Human",,,"EHB21",""
,,,,,,,,"ribonucleic acid",,"MRPL34",,"false",,"MRPL34","MRPL34","9606","Homo sapiens","Human",,,"L34mt",""
,,,,,,,,"ribonucleic acid",,"FAM135A",,"false",,"FAM135A","FAM135A","9606","Homo sapiens","Human",,,"KIAA1411","RP1-198I9.1"
,,,,,,,,"protein",,"CDC40",,"false",,"CDC40","CDC40","9606","Homo sapiens","Human",,,"PRPF17","RP1-71D21.3"
,"3.1484886375480405","0.5033726812816189",,,"8.0",,"0.024996846914291382","protein",,"NUMBL",,"true",,"NUMBL","NUMBL","9606","Homo sapiens","Human",,,"TNRC23",""
,,,,,,,,"ribonucleic acid",,"ID2",,"false",,"ID2","ID2","9606","Homo sapiens","Human",,,"bHLHb26",""
,,,,,,,,"ribonucleic acid",,"MT2A",,"false",,"MT2A","MT2A","9606","Homo sapiens","Human",,,"MT2",""
,,,,,,,,"protein",,"PAIP2",,"false",,"PAIP2","PAIP2","9606","Homo sapiens","Human",,,"PAIP2A","HSPC218"
,,,,,,,,"protein",,"KIF2C",,"false",,"KIF2C","KIF2C","9606","Homo sapiens","Human",,,"MCAK","RP11-269F19.1"
,,,,,,,,"ribonucleic acid",,"BCL2",,"false",,"BCL2","BCL2","9606","Homo sapiens","Human",,,"PPP1R50",""
,,,,,,,,"protein",,"NFAT5",,"false",,"NFAT5","NFAT5","9606","Homo sapiens","Human",,,"TONEBP","RP11-311C24.1"
,,,,,,,,"ribonucleic acid",,"BCL2L11",,"false",,"BCL2L11","BCL2L11","9606","Homo sapiens","Human",,,"BOD",""
,,,,,,,,"protein",,"LRRC66",,"false",,"LRRC66","LRRC66","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"OAZ3",,"false",,"OAZ3","OAZ3","9606","Homo sapiens","Human",,,"TISP15","RP11-98D18.13-004"
,,,,,,,,"gene",,"BMP7",,"false",,"BMP7","BMP7","9606","Homo sapiens","Human",,,"OP-1","RP11-560A15.5"
,,,,,,,,"protein",,"ZIM3",,"false",,"ZIM3","ZIM3","9606","Homo sapiens","Human",,,"ZNF657",""
,,,,,,,,"protein",,"MUC19",,"false",,"MUC19","MUC19","9606","Homo sapiens","Human",,,"MUC-19",""
,,,,,,,,"protein",,"USP17L22",,"false",,"USP17L22","USP17L22","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"GAGE2D",,"false",,"GAGE2D","GAGE2D","9606","Homo sapiens","Human",,,"GAGE8","CTD-2248C21.2"
,,,,,,,,"protein",,"GRINA",,"false",,"GRINA","GRINA","9606","Homo sapiens","Human",,,"TMBIM3",""
,,,,,,,,"protein",,"TMED1",,"false",,"TMED1","TMED1","9606","Homo sapiens","Human",,,"Tp24",""
,,,,,,,,"protein",,"TMEM176B",,"false",,"TMEM176B","TMEM176B","9606","Homo sapiens","Human",,,"LR8",""
,,,,,,,,"protein",,"SYS1",,"false",,"SYS1","SYS1","9606","Homo sapiens","Human",,,"dJ453C12.4.1","RP3-453C12.12-005"
,,,,,,,,"protein",,"IL1RL1",,"false",,"IL1RL1","IL1RL1","9606","Homo sapiens","Human",,,"T1",""
,,,,,,,,"protein",,"MADCAM1",,"false",,"MADCAM1","MADCAM1","9606","Homo sapiens","Human",,,"MACAM1",""
,,,,,,,,"protein",,"E6",,"false",,"E6","E6","333759","Human papillomavirus (10)","Human papillomavirus",,,"","HpV10gp1"
,,,,,,,,"protein",,"ACTA2",,"false",,"ACTA2","ACTA2","9606","Homo sapiens","Human",,,"MYMY5","GIG46"
,,,,,,,,"gene",,"TNFRSF25",,"false",,"TNFRSF25","TNFRSF25","9606","Homo sapiens","Human",,,"WSL-LR","RP4-650H14.2"
,,,,,,,,"gene",,"FAS",,"false",,"FAS","FAS","9606","Homo sapiens","Human",,,"TNFRSF6","RP11-399O19.7"
,,,,,,,,"gene",,"TNFRSF1A",,"false",,"TNFRSF1A","TNFRSF1A","9606","Homo sapiens","Human",,,"p60",""
,,,,,,,,"gene",,"CFLAR",,"false",,"CFLAR","CFLAR","9606","Homo sapiens","Human",,,"c-FLIPS",""
,,,,,,,,"gene",,"TRADD",,"false",,"TRADD","TRADD","9606","Homo sapiens","Human",,,"Hs.89862",""
,,,,,,,,"gene",,"FADD",,"false",,"FADD","FADD","9606","Homo sapiens","Human",,,"MORT1","GIG3"
,,,,,,,,"gene",,"NOL3",,"false",,"NOL3","NOL3","9606","Homo sapiens","Human",,,"NOP30",""
,,,,,,,,"gene",,"HNRNPK",,"false",,"HNRNPK","HNRNPK","9606","Homo sapiens","Human",,,"TUNP","RP11-575L7.1"
,,,,,,,,"gene",,"KHDRBS1",,"false",,"KHDRBS1","KHDRBS1","9606","Homo sapiens","Human",,,"p68",""
,,,,,,,,"protein",,"DNAJC8",,"false",,"DNAJC8","DNAJC8","9606","Homo sapiens","Human",,,"SPF31","HSPC315"
,,,,,,,,"protein",,"DDX46",,"false",,"DDX46","DDX46","9606","Homo sapiens","Human",,,"Prp5",""
,,,,,,,,"protein",,"CHERP",,"false",,"CHERP","CHERP","9606","Homo sapiens","Human",,,"SRA1",""
,,,,,,,,"protein",,"U2SURP",,"false",,"U2SURP","U2SURP","9606","Homo sapiens","Human",,,"fSAPa",""
,,,,,,,,"protein",,"E7",,"false",,"E7","E7","10600","Human papillomavirus (6b)","Human papillomavirus",,,"","HPV6bgp2"
,,,,,,,,"protein",,"E6",,"false",,"E6","E6","10600","Human papillomavirus (6b)","Human papillomavirus",,,"","HPV6bgp1"
,,,,,,,,"protein",,"SF3B5",,"false",,"SF3B5","SF3B5","9606","Homo sapiens","Human",,,"Ysf3","RP1-197L1.2"
,,,,,,,,"protein",,"DPPA3",,"false",,"DPPA3","DPPA3","9606","Homo sapiens","Human",,,"STELLA",""
,,,,,,,,"protein",,"CENPJ",,"false",,"CENPJ","CENPJ","9606","Homo sapiens","Human",,,"Sas-4","RP11-756A22.2"
,,,,,,,,"protein",,"COX7A2P2",,"false",,"COX7A2P2","COX7A2P2","9606","Homo sapiens","Human",,,"COX7AP2",""
,,,,,,,,"protein",,"TMPRSS7",,"false",,"TMPRSS7","TMPRSS7","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"CHRNA4",,"false",,"CHRNA4","CHRNA4","9606","Homo sapiens","Human",,,"NACRA4",""
,,,,,,,,"protein",,"MGP",,"false",,"MGP","MGP","9606","Homo sapiens","Human",,,"NTI","GIG36"
,,,,,,,,"protein",,"RNF44",,"false",,"RNF44","RNF44","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"TRIM48",,"false",,"TRIM48","TRIM48","9606","Homo sapiens","Human",,,"RNF101",""
,,,,,,,,"protein",,"BCAM",,"false",,"BCAM","BCAM","9606","Homo sapiens","Human",,,"MSK19",""
,,,,,,,,"protein",,"SEMG2",,"false",,"SEMG2","SEMG2","9606","Homo sapiens","Human",,,"SGII",""
,,,,,,,,"protein",,"SEMG1",,"false",,"SEMG1","SEMG1","9606","Homo sapiens","Human",,,"dJ172H20.2",""
,,,,,,,,"protein",,"CPAMD8",,"false",,"CPAMD8","CPAMD8","9606","Homo sapiens","Human",,,"VIP",""
,,,,,,,,"protein",,"ADCYAP1",,"false",,"ADCYAP1","ADCYAP1","9606","Homo sapiens","Human",,,"PACAP",""
,,,,,,,,"protein",,"HOMER2",,"false",,"HOMER2","HOMER2","9606","Homo sapiens","Human",,,"VESL-2",""
,,,,,,,,"ribonucleic acid",,"MIR21",,"false",,"MIR21","MIR21","9606","Homo sapiens","Human",,,"miRNA21",""
,,,,,,,,"protein",,"RPS18",,"false",,"RPS18","RPS18","9606","Homo sapiens","Human",,,"S18","DADB-159G18.1"
,,,,,,,,"protein",,"KIF19",,"false",,"KIF19","KIF19","9606","Homo sapiens","Human",,,"KIF19A",""
,,,,,,,,"protein",,"RNASEL",,"false",,"RNASEL","RNASEL","9606","Homo sapiens","Human",,,"RNS4","RP11-20H6.1"
,,,,,,,,"protein",,"HOXA13",,"false",,"HOXA13","HOXA13","9606","Homo sapiens","Human",,,"HOX1J",""
,,,,,,,,"protein",,"WDR87",,"false",,"WDR87","WDR87","9606","Homo sapiens","Human",,,"NYD-SP11",""
,"368.21208094617026","0.5164359861591695",,,"38.0",,"0.05702753737568855","protein",,"ABCE1",,"true",,"ABCE1","ABCE1","9606","Homo sapiens","Human",,,"RNS4I","OK/SW-cl.40"
,,,,,,,,"protein",,"RLIM",,"false",,"RLIM","RLIM","9606","Homo sapiens","Human",,,"RNF12","CTD-2530H13.3"
,,,,,,,,"protein",,"TTLL11",,"false",,"TTLL11","TTLL11","9606","Homo sapiens","Human",,,"bA244O19.1","RP11-244O19.1"
,,,,,,,,"protein",,"OR2T1",,"false",,"OR2T1","OR2T1","9606","Homo sapiens","Human",,,"OR1-25",""
,,,,,,,,"protein",,"TST",,"false",,"TST","TST","9606","Homo sapiens","Human",,,"RDS","LL22NC01-146D10.3"
,,,,,,,,"protein",,"NR2E3",,"false",,"NR2E3","NR2E3","9606","Homo sapiens","Human",,,"rd7",""
,,,,,,,,"protein",,"NUDT11",,"false",,"NUDT11","NUDT11","9606","Homo sapiens","Human",,,"hDIPP3beta","RP11-348F1.5"
,,,,,,,,"protein",,"DNAH1",,"false",,"DNAH1","DNAH1","9606","Homo sapiens","Human",,,"XLHSRF-1",""
,"4.9904761904761905","0.5025252525252525",,,"6.0",,"0.015585843473672867","protein",,"PLEKHA2",,"true",,"PLEKHA2","PLEKHA2","9606","Homo sapiens","Human",,,"TAPP2",""
,"0.5235294117647059","0.5016806722689076",,,"4.0",,"0.015595756471157074","protein",,"PLEKHA1",,"true",,"PLEKHA1","PLEKHA1","9606","Homo sapiens","Human",,,"TAPP1","RP11-436O19__A.1"
,,,,,,,,"protein",,"HIST2H2AC",,"false",,"HIST2H2AC","HIST2H2AC","9606","Homo sapiens","Human",,,"H2AFQ",""
