"AverageShortestPathLength","Betweenness","Closeness","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","Interactor Type","IsSingleNode","name","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Short Label","Species (NCBI TAX ID)","Species Full Name","Species Short Label","Stress","Subgragh","synonym","systematic name"
,,,,,,,,"protein",,"RBM14-RBM4",,"false",,"RBM14-RBM4","RBM14-RBM4","9606","Homo sapiens","Human",,,"COAZ","hCG_20662"
,,,,,,,,"protein",,"CXCR5",,"false",,"CXCR5","CXCR5","9606","Homo sapiens","Human",,,"MDR15",""
,,,,,,,,"protein",,"DNAJB7",,"false",,"DNAJB7","DNAJB7","9606","Homo sapiens","Human",,,"HSC3",""
,,,,,,,,"protein",,"WLS",,"false",,"WLS","WLS","9606","Homo sapiens","Human",,,"mig-14","RP11-518D3.2"
,,,,,,,,"protein",,"GJA4",,"false",,"GJA4","GJA4","9606","Homo sapiens","Human",,,"CX37","RP1-34M23.4"
,,,,,,,,"protein",,"MN1",,"false",,"MN1","MN1","9606","Homo sapiens","Human",,,"dJ353E16.2","CTA-437G10__B.1"
,,,,,,,,"protein",,"IL17RC",,"false",,"IL17RC","IL17RC","9606","Homo sapiens","Human",,,"IL17RL","UNQ6118/PRO20040/PRO38901"
,,,,,,,,"protein",,"TMPRSS15",,"false",,"TMPRSS15","TMPRSS15","9606","Homo sapiens","Human",,,"PRSS7",""
,,,,,,,,"protein",,"FSTL5",,"false",,"FSTL5","FSTL5","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"ARMC2",,"false",,"ARMC2","ARMC2","9606","Homo sapiens","Human",,,"bA787I22.1","RP11-787I22.1"
,,,,,,,,"protein",,"INPP4B",,"false",,"INPP4B","INPP4B","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"SPRED3",,"false",,"SPRED3","SPRED3","9606","Homo sapiens","Human",,,"spred-3",""
,,,,,,,,"protein",,"ZNF667-AS1",,"false",,"ZNF667-AS1","ZNF667-AS1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"LOC554206",,"false",,"LOC554206","LOC554206","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"LOC401296",,"false",,"LOC401296","LOC401296","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"SLC9A9",,"false",,"SLC9A9","SLC9A9","9606","Homo sapiens","Human",,,"NHE9","Nbla00118"
,,,,,,,,"protein",,"PPTC7",,"false",,"PPTC7","PPTC7","9606","Homo sapiens","Human",,,"TAPP2C",""
,,,,,,,,"protein",,"FAM122C",,"false",,"FAM122C","FAM122C","9606","Homo sapiens","Human",,,"","RP3-473B4.1"
,,,,,,,,"protein",,"C20orf141",,"false",,"C20orf141","C20orf141","9606","Homo sapiens","Human",,,"dJ860F19.4","RP5-860F19.6"
,,,,,,,,"protein",,"CLRN3",,"false",,"CLRN3","CLRN3","9606","Homo sapiens","Human",,,"USH3AL1",""
,,,,,,,,"protein",,"CTHRC1",,"false",,"CTHRC1","CTHRC1","9606","Homo sapiens","Human",,,"","UNQ762/PRO1550"
,,,,,,,,"protein",,"VN1R10P",,"false",,"VN1R10P","VN1R10P","9606","Homo sapiens","Human",,,"hs6V1-1p","hCG_1820928"
,,,,,,,,"protein",,"TMTC1",,"false",,"TMTC1","TMTC1","9606","Homo sapiens","Human",,,"TMTC1A","ARG99"
,,,,,,,,"protein",,"LMAN2L",,"false",,"LMAN2L","LMAN2L","9606","Homo sapiens","Human",,,"VIPL","PSEC0028"
,,,,,,,,"protein",,"LY6G6C",,"false",,"LY6G6C","LY6G6C","9606","Homo sapiens","Human",,,"NG24","DADB-110M10.4"
,,,,,,,,"protein",,"MAP3K19",,"false",,"MAP3K19","MAP3K19","9606","Homo sapiens","Human",,,"YSK4",""
,,,,,,,,"protein",,"CENPBD1P1",,"false",,"CENPBD1P1","CENPBD1P1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"ABCG4",,"false",,"ABCG4","ABCG4","9606","Homo sapiens","Human",,,"WHITE2",""
,,,,,,,,"protein",,"ASIC4",,"false",,"ASIC4","ASIC4","9606","Homo sapiens","Human",,,"BNAC4",""
,,,,,,,,"protein",,"TMEM186",,"false",,"TMEM186","TMEM186","9606","Homo sapiens","Human",,,"C16orf51",""
,,,,,,,,"protein",,"TMCC1",,"false",,"TMCC1","TMCC1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"TMC6",,"false",,"TMC6","TMC6","9606","Homo sapiens","Human",,,"LAK-4P",""
,,,,,,,,"protein",,"TOX",,"false",,"TOX","TOX","9606","Homo sapiens","Human",,,"TOX1",""
,,,,,,,,"protein",,"DNAH11",,"false",,"DNAH11","DNAH11","9606","Homo sapiens","Human",,,"DPL11",""
,,,,,,,,"protein",,"JMJD7-PLA2G4B",,"false",,"JMJD7-PLA2G4B","JMJD7-PLA2G4B","9606","Homo sapiens","Human",,,"cPLA2-beta",""
,,,,,,,,"protein",,"NPFF",,"false",,"NPFF","NPFF","9606","Homo sapiens","Human",,,"FMRFAL",""
,,,,,,,,"protein",,"MANF",,"false",,"MANF","MANF","9606","Homo sapiens","Human",,,"ARP",""
,,,,,,,,"protein",,"FUT2",,"false",,"FUT2","FUT2","9606","Homo sapiens","Human",,,"sej",""
,,,,,,,,"gene",,"SUPT16H",,"false",,"SUPT16H","SUPT16H","9606","Homo sapiens","Human",,,"SPT16/CDC68",""
,,,,,,,,"gene",,"SSRP1",,"false",,"SSRP1","SSRP1","9606","Homo sapiens","Human",,,"T160",""
,,,,,,,,"gene",,"TONSL",,"false",,"TONSL","TONSL","9606","Homo sapiens","Human",,,"NFKBIL2",""
,,,,,,,,"gene",,"TCEA2",,"false",,"TCEA2","TCEA2","9606","Homo sapiens","Human",,,"TFIIS","RP11-299N6.2"
,,,,,,,,"gene",,"TCEANC",,"false",,"TCEANC","TCEANC","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"gene",,"SETX",,"false",,"SETX","SETX","9606","Homo sapiens","Human",,,"bA479K20.2","RP11-203M2.2"
,,,,,,,,"protein",,"PHOX2B",,"false",,"PHOX2B","PHOX2B","9606","Homo sapiens","Human",,,"PMX2B",""
,,,,,,,,"protein",,"TMPRSS12",,"false",,"TMPRSS12","TMPRSS12","9606","Homo sapiens","Human",,,"CT151",""
,,,,,,,,"protein",,"C22orf29",,"false",,"C22orf29","C22orf29","9606","Homo sapiens","Human",,,"BOP",""
,,,,,,,,"ribonucleic acid",,"SF3B3",,"false",,"SF3B3","SF3B3","9606","Homo sapiens","Human",,,"STAF130",""
,,,,,,,,"ribonucleic acid",,"GTF2I",,"false",,"GTF2I","GTF2I","9606","Homo sapiens","Human",,,"WBSCR6",""
